bug_rate,config_rate,hw_rate,esc_rate,init_sev_1_2_rate,diag_rate,sw_not_bug_rate,ces_y
9.52380952380952,52.3809523809523,4.76190476190476,0.0,0.0,0.0,19.047619047619,0.0
11.1111111111111,50.0,2.77777777777777,5.55555555555555,8.33333333333333,5.55555555555555,27.7777777777777,0.0
17.391304347826,17.391304347826,4.34782608695652,4.34782608695652,4.34782608695652,13.0434782608695,30.4347826086956,0.0
16.0,48.0,8.0,8.0,0.0,12.0,24.0,0.0
10.5263157894736,31.578947368421,0.0,5.26315789473684,5.26315789473684,5.26315789473684,52.6315789473684,0.0
16.0,24.0,0.0,8.0,4.0,0.0,36.0,0.0
25.0,33.3333333333333,8.33333333333333,8.33333333333333,2.77777777777777,2.77777777777777,44.4444444444444,0.0
20.0,30.0,0.0,5.0,0.0,5.0,45.0,0.0
31.25,43.75,6.25,6.25,6.25,0.0,25.0,0.0
29.4117647058823,35.2941176470588,0.0,11.7647058823529,5.88235294117647,5.88235294117647,17.6470588235294,0.0
4.0,24.0,12.0,0.0,12.0,16.0,12.0,0.0
12.0,20.0,12.0,4.0,8.0,8.0,24.0,0.0
6.66666666666666,15.5555555555555,15.5555555555555,2.22222222222222,24.4444444444444,11.1111111111111,24.4444444444444,0.0
7.54716981132075,11.3207547169811,7.54716981132075,1.88679245283018,15.0943396226415,11.3207547169811,35.8490566037735,0.0
12.6582278481012,21.5189873417721,10.126582278481,6.32911392405063,7.59493670886076,11.3924050632911,29.1139240506329,0.0
4.0,25.3333333333333,13.3333333333333,9.33333333333333,4.0,4.0,34.6666666666666,0.0
1.98019801980198,17.8217821782178,11.8811881188118,3.96039603960396,11.8811881188118,8.91089108910891,35.6435643564356,0.0
3.38983050847457,11.864406779661,6.77966101694915,6.77966101694915,6.77966101694915,6.77966101694915,62.7118644067796,0.0
10.0,28.0,6.0,12.0,14.0,6.0,36.0,0.0
5.0,20.0,0.0,8.33333333333333,15.0,5.0,53.3333333333333,0.0
4.93827160493827,17.2839506172839,0.0,2.46913580246913,12.3456790123456,4.93827160493827,56.7901234567901,0.0
6.66666666666666,20.0,0.0,0.0,20.0,6.66666666666666,52.0,0.0
4.93827160493827,35.8024691358024,3.7037037037037,6.17283950617283,13.5802469135802,4.93827160493827,33.3333333333333,0.0
12.6373626373626,20.8791208791208,3.29670329670329,2.19780219780219,12.6373626373626,6.59340659340659,36.8131868131868,0.0
12.1387283236994,27.1676300578034,0.578034682080924,1.73410404624277,6.93641618497109,6.35838150289017,31.7919075144508,0.0
2.75862068965517,15.1724137931034,63.4482758620689,0.0,16.551724137931,4.13793103448275,2.06896551724137,0.0
2.36220472440944,12.5984251968503,55.1181102362204,0.0,11.8110236220472,6.29921259842519,11.8110236220472,0.0
4.62427745664739,15.028901734104,53.757225433526,0.0,12.7167630057803,5.20231213872832,6.93641618497109,0.0
2.35294117647058,21.1764705882352,50.5882352941176,0.0,12.9411764705882,5.88235294117647,10.5882352941176,0.0
9.09090909090909,20.0,41.8181818181818,1.81818181818181,18.1818181818181,7.27272727272727,10.9090909090909,0.0
0.0,10.2564102564102,64.1025641025641,0.0,25.6410256410256,2.56410256410256,5.12820512820512,0.0
2.85714285714285,20.0,45.7142857142857,0.0,8.57142857142857,2.85714285714285,2.85714285714285,0.0
2.08333333333333,25.0,37.5,0.0,20.8333333333333,10.4166666666666,14.5833333333333,0.0
0.0,18.5185185185185,44.4444444444444,0.0,18.5185185185185,7.4074074074074,7.4074074074074,0.0
0.0,38.235294117647,29.4117647058823,0.0,23.5294117647058,2.94117647058823,14.7058823529411,0.0
4.16666666666666,25.0,33.3333333333333,0.0,20.8333333333333,0.0,12.5,0.0
6.25,6.25,59.375,0.0,21.875,3.125,6.25,0.0
10.0,10.0,50.0,5.0,20.0,0.0,25.0,0.0
3.33333333333333,16.6666666666666,50.0,0.0,16.6666666666666,3.33333333333333,13.3333333333333,0.0
2.85714285714285,14.2857142857142,42.8571428571428,0.0,20.0,5.71428571428571,17.1428571428571,0.0
0.0,7.5,57.4999999999999,0.0,12.5,2.5,17.5,0.0
0.0,13.7931034482758,58.6206896551724,0.0,31.0344827586206,0.0,20.6896551724137,0.0
4.44444444444444,4.44444444444444,62.2222222222222,0.0,13.3333333333333,0.0,17.7777777777777,0.0
4.76190476190476,4.76190476190476,42.8571428571428,0.0,38.095238095238,4.76190476190476,14.2857142857142,0.0
5.55555555555555,0.0,61.1111111111111,0.0,22.2222222222222,5.55555555555555,5.55555555555555,0.0
0.0,20.0,33.3333333333333,0.0,16.6666666666666,0.0,30.0,0.0
5.88235294117647,0.0,61.7647058823529,0.0,14.7058823529411,0.0,17.6470588235294,0.0
0.0,0.0,76.9230769230769,0.0,19.2307692307692,0.0,15.3846153846153,0.0
0.0,2.7027027027027,64.8648648648648,0.0,10.8108108108108,0.0,10.8108108108108,0.0
0.0,3.03030303030303,66.6666666666666,0.0,12.1212121212121,0.0,6.06060606060606,0.0
0.0,5.71428571428571,80.0,0.0,11.4285714285714,2.85714285714285,2.85714285714285,0.0
3.02325581395348,23.953488372093,44.6511627906976,0.116279069767441,13.7209302325581,4.53488372093023,10.4651162790697,0.0
3.62811791383219,20.4081632653061,48.7528344671201,0.0,11.1111111111111,4.53514739229024,9.18367346938775,0.0
4.27350427350427,19.6581196581196,47.9853479853479,0.61050061050061,10.1343101343101,5.86080586080586,10.5006105006105,0.0
2.9940119760479,24.750499001996,39.1217564870259,0.199600798403193,12.9740518962075,7.98403193612774,11.7764471057884,0.0
